Condition,Alternative Name,Category
Food Allergy,,Allergies
Allergic Rhinitis,Hay Fever,Allergies
Drug Allergies,,Allergies
Atopic Dermatitis,Eczema,Allergies
Contact Dermatitis,,Allergies
Ankylosing Spondylitis,,Autoimmune & Inflammatory
Gout,,Autoimmune & Inflammatory
Guillain-Barre Syndrome,,Autoimmune & Inflammatory
Multiple Sclerosis,MS,Autoimmune & Inflammatory
Osteoarthritis,,Autoimmune & Inflammatory
Rheumatoid Arthritis,,Autoimmune & Inflammatory
Sarcoidosis,,Autoimmune & Inflammatory
Scleroderma,,Autoimmune & Inflammatory
Systemic Lupus Erythematosus,SLE,Autoimmune & Inflammatory
Vasculitis,,Autoimmune & Inflammatory
Ant Bites,,Bites & Stings
Bedbug Bites,,Bites & Stings
Flea Bites,,Bites & Stings
Horsefly Bites,,Bites & Stings
Mosquito Bites,,Bites & Stings
Spider Bites,,Bites & Stings
Tick Bites,,Bites & Stings
Anemia,,Blood Health
Hemophilia,,Blood Health
Thrombocytopenia,Low Platelet Count,Blood Health
Polycythemia Vera,,Blood Health
Osteoporosis,,Bone Health
Osteomalacia,Soft Bone Disease,Bone Health
Osteogenesis Imperfecta,Brittle Bone Disease,Bone Health
Paget's Disease of Bone,Osteitis Deformans,Bone Health
Bone Fractures,,Bone Health
Basal Cell Carcinoma,,Cancer
Breast Cancer,,Cancer
Cervical Cancer,,Cancer
Colorectal Cancer,,Cancer
Liver Cancer,,Cancer
Lung Cancer,,Cancer
Melanoma,,Cancer
Ovarian Cancer,,Cancer
Prostate Cancer,,Cancer
Squamous Cell Carcinoma,,Cancer
Leukemia,Blood Cancer,Cancer
Cardiac Arrhythmia,,Cardiovascular
Coronary Artery Disease,,Cardiovascular
Heart Failure,,Cardiovascular
Hypertension,High Blood Pressure,Cardiovascular
Chronic Fatigue Syndrome,,Chronic Conditions
Fibromyalgia,,Chronic Conditions
Post-COVID Syndrome,Long COVID,Chronic Conditions
Anal Fissures,,Digestive Health
Appendicitis,,Digestive Health
Barrett's Esophagus,,Digestive Health
Celiac Disease,,Digestive Health
Cholecystitis,,Digestive Health
Colitis,,Digestive Health
Constipation,,Digestive Health
Crohn's Disease,Intestinal Inflammation,Digestive Health
Diarrhea,,Digestive Health
Diverticulitis,,Digestive Health
Esophagitis,,Digestive Health
Functional Dyspepsia,,Digestive Health
Gallbladder Disease,,Digestive Health
Gastritis,,Digestive Health
Gastroenteritis,Stomach Flu,Digestive Health
Gastroesophageal Reflux Disease,GERD,Digestive Health
Gastroparesis,,Digestive Health
Hemorrhoids,Piles,Digestive Health
Inflammatory Bowel Disease,IBD,Digestive Health
Irritable Bowel Syndrome,IBS,Digestive Health
Lactose Intolerance,,Digestive Health
Pancreatitis,,Digestive Health
Peptic Ulcer Disease,PUD,Digestive Health
Small Intestinal Bacterial Overgrowth,SIBO,Digestive Health
Zollinger-Ellison Syndrome,,Digestive Health
Otitis Externa,Swimmer's Ear,Ear & Throat Health
Tonsillitis,,Ear & Throat Health
Eustachian Tube Dysfunction,Eustachian Tube Disorder,Ear & Throat Health
Laryngitis,,Ear & Throat Health
Tympanic Membrane (Eardrum) Perforation,,Ear & Throat Health
Eustachian Tube Dysfunction,ETD,Ear & Throat Health
Hashimoto's Thyroiditis,Autoimmune Thyroiditis,Endocrine & Metabolic
