Condition,Alternative Name,Category,Tags
Food Allergy,,Allergies,Immune System; Food Reactions; Dietary Triggers; Hypersensitivity
Allergic Rhinitis,Hay Fever,Allergies,Respiratory Health; Immune System; Environmental Triggers; Nasal Conditions
Drug Allergies,,Allergies,Immune System; Medication Reactions; Hypersensitivity
Atopic Dermatitis,Eczema,Allergies,Skin Health; Immune System; Skin Disorders; Hypersensitivity
Contact Dermatitis,,Allergies,Skin Health; Immune System; Skin Disorders; Hypersensitivity
Ankylosing Spondylitis,,Autoimmune & Inflammatory,Joint Health; Immune System; Skeletal System; Chronic Pain; Inflammatory Disorders
Gout,,Autoimmune & Inflammatory,Joint Health; Metabolic Health; Uric Acid Disorders; Chronic Pain; Inflammatory Disorders
Guillain-Barre Syndrome,,Autoimmune & Inflammatory,Neurological; Immune System; Nerve Disorders; Inflammatory Disorders
Multiple Sclerosis,MS,Autoimmune & Inflammatory,Neurological; Immune System; Nerve Disorders; Chronic Conditions; Inflammatory Disorders
Osteoarthritis,,Autoimmune & Inflammatory,Joint Health; Musculoskeletal; Aging; Chronic Pain; Degenerative Disorders; Inflammatory Disorders
Rheumatoid Arthritis,,Autoimmune & Inflammatory,Joint Health; Immune System; Chronic Pain; Inflammatory Disorders
Sarcoidosis,,Autoimmune & Inflammatory,Immune System; Multi-System Disorders; Inflammatory Disorders; Organ Health
Scleroderma,,Autoimmune & Inflammatory,Skin Health; Immune System; Connective Tissue Disorders; Inflammatory Disorders
Systemic Lupus Erythematosus,SLE,Autoimmune & Inflammatory,Immune System; Multi-System Disorders; Chronic Conditions; Inflammatory Disorders
Vasculitis,,Autoimmune & Inflammatory,Cardiovascular; Immune System; Blood Vessel Disorders; Inflammatory Disorders
Ant Bites,,Bites & Stings,Insect Interactions; Skin Reactions
Bedbug Bites,,Bites & Stings,Insect Interactions; Skin Reactions; Pest Control
Flea Bites,,Bites & Stings,Insect Interactions; Skin Reactions; Pet Health
Horsefly Bites,,Bites & Stings,Insect Interactions; Skin Reactions
Mosquito Bites,,Bites & Stings,Insect Interactions; Skin Reactions; Vector-Borne Diseases
Spider Bites,,Bites & Stings,Insect Interactions; Skin Reactions; Venomous Bites
Tick Bites,,Bites & Stings,Insect Interactions; Skin Reactions; Vector-Borne Diseases
Anemia,,Blood Health,Iron Deficiency; Fatigue; Hematology
Hemophilia,,Blood Health,Bleeding Disorders; Clotting Disorders; Hematology
Thrombocytopenia,Low Platelet Count,Blood Health,Bleeding Disorders; Clotting Disorders; Hematology
Polycythemia Vera,,Blood Health,Blood Disorders; Bone Marrow Disorders; Hematology
Osteoporosis,,Bone Health,Skeletal System; Aging; Calcium Metabolism; Bone Density
Osteomalacia,Soft Bone Disease,Bone Health,Skeletal System; Vitamin D Deficiency; Calcium Metabolism; Bone Density
Osteogenesis Imperfecta,Brittle Bone Disease,Bone Health,Skeletal System; Genetic Conditions; Collagen Disorders
Paget's Disease of Bone,Osteitis Deformans,Bone Health,Skeletal System; Bone Remodeling Disorders
Bone Fractures,,Bone Health,Musculoskeletal; Skeletal System; Injury; Trauma
Basal Cell Carcinoma,,Cancer,Skin Cancer; Oncology; Skin Health
Breast Cancer,,Cancer,Oncology; Women's Health; Tumors
Cervical Cancer,,Cancer,Oncology; Women's Health; HPV
Colorectal Cancer,,Cancer,Oncology; Digestive Health; Tumors
Liver Cancer,,Cancer,Oncology; Liver Health; Tumors
Lung Cancer,,Cancer,Oncology; Respiratory Health; Tumors
Melanoma,,Cancer,Skin Cancer; Oncology; Skin Health
Ovarian Cancer,,Cancer,Oncology; Women's Health; Tumors
Prostate Cancer,,Cancer,Oncology; Men's Health; Tumors
Squamous Cell Carcinoma,,Cancer,Skin Cancer; Oncology; Skin Health
Leukemia,Blood Cancer,Cancer,Oncology; Blood Health; Blood Disorders
Cardiac Arrhythmia,,Cardiovascular,Heart Health; Electrical System Disorders; Heart Rhythm
Coronary Artery Disease,,Cardiovascular,Heart Health; Circulation; Arterial Health
Heart Failure,,Cardiovascular,Heart Health; Pump Function; Circulation
Hypertension,High Blood Pressure,Cardiovascular,Heart Health; Blood Pressure; Circulation
Chronic Fatigue Syndrome,,Chronic Conditions,Fatigue; Energy Disorders; Immune System
Fibromyalgia,,Chronic Conditions,Chronic Pain; Musculoskeletal; Nerve Pain; Pain Management
Post-COVID Syndrome,Long COVID,Chronic Conditions,Post-Viral Syndrome; Recovery; Immune System
Anal Fissures,,Digestive Health,Gastrointestinal; Rectal Health; Bowel Movements
Appendicitis,,Digestive Health,Gastrointestinal; Abdominal Pain; Appendix
Barrett's Esophagus,,Digestive Health,Gastrointestinal; Esophageal Health; Acid Reflux
Celiac Disease,,Digestive Health,Gastrointestinal; Immune System; Gluten Intolerance; Nutrient Absorption
Cholecystitis,,Digestive Health,Gallbladder Disease; Gallstones; Abdominal Pain
Colitis,,Digestive Health,Gastrointestinal; Inflammatory Bowel Disease; Colon Health
Constipation,,Digestive Health,Gastrointestinal; Bowel Movements; Stool Consistency
Crohn's Disease,Intestinal Inflammation,Digestive Health,Gastrointestinal; Inflammatory Bowel Disease; Immune System
Diarrhea,,Digestive Health,Gastrointestinal; Bowel Movements; Stool Consistency
Diverticulitis,,Digestive Health,Gastrointestinal; Colon Health; Abdominal Pain
Esophagitis,,Digestive Health,Gastrointestinal; Esophageal Health; Acid Reflux
Functional Dyspepsia,,Digestive Health,Gastrointestinal; Indigestion; Abdominal Pain
Gallbladder Disease,,Digestive Health,Gallbladder; Bile Duct Disorders; Fat Digestion
Gastritis,,Digestive Health,Gastrointestinal; Stomach Inflammation; Abdominal Pain
Gastroenteritis,Stomach Flu,Digestive Health,Gastrointestinal; Infection; Nausea and Vomiting
Gastroesophageal Reflux Disease,GERD,Digestive Health,Gastrointestinal; Acid Reflux; Esophageal Health
Gastroparesis,,Digestive Health,Gastrointestinal; Stomach Emptying; Nausea and Vomiting
Hemorrhoids,Piles,Digestive Health,Gastrointestinal; Rectal Health; Vein Health
Inflammatory Bowel Disease,IBD,Digestive Health,Gastrointestinal; Immune System; Chronic Inflammation
Irritable Bowel Syndrome,IBS,Digestive Health,Gastrointestinal; Bowel Disorders; Abdominal Pain
Lactose Intolerance,,Digestive Health,Gastrointestinal; Dairy Sensitivity; Digestive Enzymes
Pancreatitis,,Digestive Health,Pancreas; Enzyme Disorders; Abdominal Pain
Peptic Ulcer Disease,PUD,Digestive Health,Gastrointestinal; Stomach Ulcers; Acid Reflux
Small Intestinal Bacterial Overgrowth,SIBO,Digestive Health,Gastrointestinal; Microbiome; Nutrient Absorption
Zollinger-Ellison Syndrome,,Digestive Health,Gastrointestinal; Stomach Acid; Hormone Disorders; Tumors
Otitis Externa,Swimmer's Ear,Ear & Throat Health,Ear Infection; Ear Canal; Hearing
Tonsillitis,,Ear & Throat Health,Throat Infection; Throat Inflammation; Lymphatic System
Eustachian Tube Dysfunction,Eustachian Tube Disorder,Ear & Throat Health,Ear Pressure; Hearing; Middle Ear
Laryngitis,,Ear & Throat Health,Voice Disorders; Vocal Cord Inflammation
Tympanic Membrane (Eardrum) Perforation,,Ear & Throat Health,Ear Injury; Hearing Loss; Middle Ear
Eustachian Tube Dysfunction,ETD,Ear & Throat Health,Ear Pressure; Hearing; Middle Ear
Hashimoto's Thyroiditis,Autoimmune Thyroiditis,Endocrine & Metabolic,Thyroid Health; Immune System; Hormone Disorders
Hyperthyroidism,,Endocrine & Metabolic,Thyroid Health; Metabolism; Hormone Disorders
Hypothyroidism,,Endocrine & Metabolic,Thyroid Health; Metabolism; Hormone Disorders
Type 1 Diabetes,,Endocrine & Metabolic,Diabetes; Blood Sugar; Insulin; Pancreas
Type 2 Diabetes,,Endocrine & Metabolic,Diabetes; Blood Sugar; Insulin Resistance; Metabolism
Age-related Macular Degeneration,AMD,Eye Health,Vision Loss; Retina; Aging
Amblyopia,,Eye Health,Vision Development; Eye Alignment
Astigmatism,,Eye Health,Vision Clarity; Cornea; Refractive Error
Blepharitis,,Eye Health,Eyelid Inflammation; Eye Irritation
Cataracts,,Eye Health,Vision Clarity; Lens; Aging
Conjunctivitis,,Eye Health,Eye Infection; Eye Inflammation; Eye Redness
Corneal Abrasion,,Eye Health,Eye Injury; Cornea; Eye Pain
Diabetic Retinopathy,,Eye Health,Diabetes Complications; Retina; Blood Vessels
Dry Eye Syndrome,Dry Eye,Eye Health,Eye Moisture; Tear Production; Eye Irritation
Eye Floaters,,Eye Health,Vitreous; Vision; Aging
Glaucoma,,Eye Health,Eye Pressure; Optic Nerve; Vision Loss
Hyperopia,Farsightedness,Eye Health,Refractive Error; Vision Clarity
Keratitis,,Eye Health,Cornea; Eye Infection; Eye Inflammation
Keratoconus,,Eye Health,Cornea; Vision Distortion; Eye Shape
Macular Hole,,Eye Health,Retina; Vision Loss; Eye Structure
Myopia,Nearsightedness,Eye Health,Refractive Error; Vision Clarity
Photophobia,,Eye Health,Light Sensitivity; Eye Pain; Vision
Presbyopia,,Eye Health,Aging; Lens; Near Vision
Retinal Detachment,,Eye Health,Retina; Vision Emergency; Eye Structure
Retinitis Pigmentosa,,Eye Health,Genetic Conditions; Retina; Vision Loss
Strabismus,,Eye Health,Eye Alignment; Vision Development; Muscle Control
Uveitis,,Eye Health,Eye Inflammation; Immune System; Eye Structure
Cystic Fibrosis,,Genetic Conditions,Respiratory Health; Lung Function; Mucus Disorders
Huntington's Disease,,Genetic Conditions,Neurological; Movement Disorders; Cognitive Decline
Sickle Cell Disease,,Genetic Conditions,Blood Health; Red Blood Cells; Pain Crises
Marfan Syndrome,,Genetic Conditions,Connective Tissue; Cardiovascular; Skeletal System
Yeast Infection,Candidiasis,Infections,Fungal Infection; Microbiome; Skin Health; Vaginal Health
Chickenpox and Shingles,Varicella-Zoster Virus Infection,Infections,Viral Infection; Skin Rash; Nerve Pain
Clostridioides difficile (C. diff) Infection,,Infections,Bacterial Infection; Gastrointestinal; Antibiotic-Associated
Common Cold,,Infections,Viral Infection; Respiratory Health; Upper Respiratory Infection
HIV/AIDS,,Infections,Viral Infection; Immune System; Sexual Health
Hepatitis B,HBV,Infections,Viral Infection; Liver Health; Liver Inflammation
Hepatitis C,HCV,Infections,Viral Infection; Liver Health; Liver Inflammation
Herpes Simplex Virus Infection,HSV,Infections,Viral Infection; Skin Health; Oral Health; Sexual Health
Human Papillomavirus (HPV) Infection,,Infections,Viral Infection; Sexual Health; Cervical Health; Warts
Influenza,Flu,Infections,Viral Infection; Respiratory Health; Fever; Body Aches
Lyme Disease,,Infections,Bacterial Infection; Tick-Borne; Joint Pain; Neurological
Meningitis,,Infections,Brain Inflammation; Spinal Cord; Fever; Headache
Mononucleosis,Mono,Infections,Viral Infection; Fatigue; Lymph Nodes; Epstein-Barr Virus
Osteomyelitis,Bone Infection,Infections,Bacterial Infection; Bone Health; Skeletal System
Sepsis,,Infections,Blood Infection; Immune Response; Systemic Illness
Streptococcal Pharyngitis,Strep throat,Infections,Bacterial Infection; Throat Infection; Throat Pain
Tuberculosis,,Infections,Bacterial Infection; Respiratory Health; Lung Infection
Chronic Kidney Disease,CKD,Liver Health,Kidney Function; Kidney Disease; Renal Health
Cirrhosis,,Liver Health,Liver Disease; Scarring; Liver Function
Hepatitis,,Liver Health,Liver Inflammation; Viral Infection; Liver Function
Metabolic-Associated Steatohepatitis,,Liver Health,Fatty Liver Disease; Liver Inflammation; Metabolism
Metabolic-Associated Steatotic Liver Disease,,Liver Health,Fatty Liver Disease; Metabolism; Liver Function
Attention-Deficit/Hyperactivity Disorder,ADHD,Mental Health,Neurodevelopmental; Focus; Hyperactivity
Anxiety Disorder,,Mental Health,Anxiety; Mood Disorders; Mental Wellness
Asperger's Syndrome,,Mental Health,Neurodevelopmental; Social Interaction; Autism Spectrum
Autism Spectrum Disorder,,Mental Health,Neurodevelopmental; Social Interaction; Communication
Bipolar Disorder,,Mental Health,Mood Disorders; Mania; Depression
Depression,,Mental Health,Mood Disorders; Mental Wellness; Emotional Health
