,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Issn1,Issn2
0,28773,Ca-A Cancer Journal for Clinicians,journal,"15424863, 00079235",106.094,Q1,211,15424863,00079235
1,19300156903,Foundations and Trends in Machine Learning,journal,"19358245, 19358237",37.044,Q1,39,19358245,19358237
2,20315,Nature Reviews Molecular Cell Biology,journal,"14710072, 14710080",35.91,Q1,508,14710072,14710080
3,29431,Quarterly Journal of Economics,journal,"00335533, 15314650",30.448,Q1,306,00335533,15314650
4,12464,Nature Reviews Cancer,journal,"1474175X, 14741768",26.837,Q1,505,1474175X,14741768
5,18434,Cell,journal,"00928674, 10974172",24.342,Q1,892,00928674,10974172
6,20425,Nature Reviews Drug Discovery,journal,"14741784, 14741776",22.399,Q1,391,14741784,14741776
7,22697,American Economic Review,journal,"19447981, 00028282",22.344,Q1,359,19447981,00028282
8,21100812243,Nature Reviews Materials,journal,20588437,21.836,Q1,184,20588437,
9,17700156734,Nature Reviews Clinical Oncology,journal,"17594782, 17594774",21.048,Q1,217,17594782,17594774
10,15847,New England Journal of Medicine,journal,"00284793, 15334406",20.544,Q1,1184,00284793,15334406
11,17500,Journal of Finance,journal,"00221082, 15406261",19.139,Q1,352,00221082,15406261
12,15819,Nature Medicine,journal,"1546170X, 10788956",19.045,Q1,630,1546170X,10788956
13,11600154092,Current Protocols in Bioinformatics,journal,"19343396, 1934340X",18.663,Q1,71,19343396,1934340X
14,21100466539,MMWR supplements,journal,"23808942, 23808950",18.587,Q1,23,23808942,23808950
15,24404,Journal of Political Economy,journal,"00223808, 1537534X",18.53,Q1,215,00223808,1537534X
16,21206,Nature,journal,"14764687, 00280836",18.509,Q1,1391,14764687,00280836
17,16115,Nature Biotechnology,journal,"15461696, 10870156",18.117,Q1,511,15461696,10870156
18,23340,Chemical Reviews,journal,"15206890, 00092665",17.828,Q1,833,15206890,00092665
19,19482,Econometrica,journal,"00129682, 14680262",17.701,Q1,223,00129682,14680262
20,16161,Review of Financial Studies,journal,"14657368, 08939454",17.654,Q1,234,14657368,08939454
